Seq,AOU,common_name,ORDER,Family,Genus,Species
6,1770,Black-bellied Whistling-Duck,Anseriformes,Anatidae,Dendrocygna,autumnalis
7,1780,Fulvous Whistling-Duck,Anseriformes,Anatidae,Dendrocygna,bicolor
8,1760,Emperor Goose,Anseriformes,Anatidae,Anser,canagicus
9,1690,Snow Goose,Anseriformes,Anatidae,Anser,caerulescens
10,1691,(Blue Goose) Snow Goose,Anseriformes,Anatidae,Chen,caerulescens (blue form)
11,1700,Ross's Goose,Anseriformes,Anatidae,Anser,rossii
13,1710,Greater White-fronted Goose,Anseriformes,Anatidae,Anser,albifrons
18,1730,Brant,Anseriformes,Anatidae,Branta,bernicla
19,1740,(Black Brant) Brant,Anseriformes,Anatidae,Branta,bernicla nigricans
21,1725,Cackling Goose,Anseriformes,Anatidae,Branta,hutchinsii
22,1720,Canada Goose,Anseriformes,Anatidae,Branta,canadensis
23,1782,Mute Swan,Anseriformes,Anatidae,Cygnus,olor
24,1810,Trumpeter Swan,Anseriformes,Anatidae,Cygnus,buccinator
25,1800,Tundra Swan,Anseriformes,Anatidae,Cygnus,columbianus
28,10210,Muscovy Duck,Anseriformes,Anatidae,Cairina,moschata
29,1440,Wood Duck,Anseriformes,Anatidae,Aix,sponsa
32,1400,Blue-winged Teal,Anseriformes,Anatidae,Spatula,discors
33,1410,Cinnamon Teal,Anseriformes,Anatidae,Spatula,cyanoptera
34,1420,Northern Shoveler,Anseriformes,Anatidae,Spatula,clypeata
35,1350,Gadwall,Anseriformes,Anatidae,Mareca,strepera
37,1360,Eurasian Wigeon,Anseriformes,Anatidae,Mareca,penelope
38,1370,American Wigeon,Anseriformes,Anatidae,Mareca,americana
40,1320,Mallard,Anseriformes,Anatidae,Anas,platyrhynchos
41,1331,(Mexican Duck) Mallard,Anseriformes,Anatidae,Anas,platyrhynchos diazi
42,1330,American Black Duck,Anseriformes,Anatidae,Anas,rubripes
43,1340,Mottled Duck,Anseriformes,Anatidae,Anas,fulvigula
44,1326,hybrid Mallard x Black Duck or Mottled Duck,Anseriformes,Anatidae,Anas,platyrhynchos x rubripes or fulvigula
46,1430,Northern Pintail,Anseriformes,Anatidae,Anas,acuta
47,1390,Green-winged Teal,Anseriformes,Anatidae,Anas,crecca
48,1470,Canvasback,Anseriformes,Anatidae,Aythya,valisineria
49,1460,Redhead,Anseriformes,Anatidae,Aythya,americana
51,1500,Ring-necked Duck,Anseriformes,Anatidae,Aythya,collaris
52,1491,Tufted Duck,Anseriformes,Anatidae,Aythya,fuligula
53,1480,Greater Scaup,Anseriformes,Anatidae,Aythya,marila
54,1490,Lesser Scaup,Anseriformes,Anatidae,Aythya,affinis
55,1489,unid. Greater Scaup / Lesser Scaup,Anseriformes,Anatidae,Aythya,marila / affinis
58,1620,King Eider,Anseriformes,Anatidae,Somateria,spectabilis
59,1590,Common Eider,Anseriformes,Anatidae,Somateria,mollissima
60,1550,Harlequin Duck,Anseriformes,Anatidae,Histrionicus,histrionicus
61,1660,Surf Scoter,Anseriformes,Anatidae,Melanitta,perspicillata
62,1650,White-winged Scoter,Anseriformes,Anatidae,Melanitta,fusca
64,1630,Black Scoter,Anseriformes,Anatidae,Melanitta,americana
65,1657,unid. scoter,Anseriformes,Anatidae,Melanitta,perspicillata / fusca / americana
66,1540,Long-tailed Duck,Anseriformes,Anatidae,Clangula,hyemalis
67,1530,Bufflehead,Anseriformes,Anatidae,Bucephala,albeola
68,1510,Common Goldeneye,Anseriformes,Anatidae,Bucephala,clangula
69,1520,Barrow's Goldeneye,Anseriformes,Anatidae,Bucephala,islandica
70,1512,unid. Common Goldeneye / Barrow's Goldeneye,Anseriformes,Anatidae,Bucephala,clangula / islandica
72,1310,Hooded Merganser,Anseriformes,Anatidae,Lophodytes,cucullatus
73,1290,Common Merganser,Anseriformes,Anatidae,Mergus,merganser
74,1300,Red-breasted Merganser,Anseriformes,Anatidae,Mergus,serrator
76,1670,Ruddy Duck,Anseriformes,Anatidae,Oxyura,jamaicensis
77,3110,Plain Chachalaca,Galliformes,Cracidae,Ortalis,vetula
85,2920,Mountain Quail,Galliformes,Odontophoridae,Oreortyx,pictus
90,2890,Northern Bobwhite,Galliformes,Odontophoridae,Colinus,virginianus
92,2930,Scaled Quail,Galliformes,Odontophoridae,Callipepla,squamata
94,2940,California Quail,Galliformes,Odontophoridae,Callipepla,californica
95,2950,Gambel's Quail,Galliformes,Odontophoridae,Callipepla,gambelii
96,2960,Montezuma Quail,Galliformes,Odontophoridae,Cyrtonyx,montezumae
100,2882,Chukar,Galliformes,Phasianidae,Alectoris,chukar
103,2881,Gray Partridge,Galliformes,Phasianidae,Perdix,perdix
104,3091,Ring-necked Pheasant,Galliformes,Phasianidae,Phasianus,colchicus
105,3095,Indian Peafowl,Galliformes,Phasianidae,Pavo,cristatus
106,3000,Ruffed Grouse,Galliformes,Phasianidae,Bonasa,umbellus
107,3090,Greater Sage-Grouse,Galliformes,Phasianidae,Centrocercus,urophasianus
108,3089,Gunnison Sage-Grouse,Galliformes,Phasianidae,Centrocercus,minimus
109,2980,Spruce Grouse,Galliformes,Phasianidae,Falcipennis,canadensis
110,3010,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus,lagopus
111,3020,Rock Ptarmigan,Galliformes,Phasianidae,Lagopus,muta
112,3040,White-tailed Ptarmigan,Galliformes,Phasianidae,Lagopus,leucura
113,2970,Dusky Grouse,Galliformes,Phasianidae,Dendragapus,obscurus
114,2971,Sooty Grouse,Galliformes,Phasianidae,Dendragapus,fuliginosus
115,2973,unid. Dusky Grouse / Sooty Grouse,Galliformes,Phasianidae,Dendragapus,obscurus / fuliginosus
116,3080,Sharp-tailed Grouse,Galliformes,Phasianidae,Tympanuchus,phasianellus
117,3050,Greater Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,cupido
118,3070,Lesser Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,pallidicinctus
119,3100,Wild Turkey,Galliformes,Phasianidae,Meleagris,gallopavo
122,50,Least Grebe,Podicipediformes,Podicipedidae,Tachybaptus,dominicus
123,60,Pied-billed Grebe,Podicipediformes,Podicipedidae,Podilymbus,podiceps
124,30,Horned Grebe,Podicipediformes,Podicipedidae,Podiceps,auritus
125,20,Red-necked Grebe,Podicipediformes,Podicipedidae,Podiceps,grisegena
126,40,Eared Grebe,Podicipediformes,Podicipedidae,Podiceps,nigricollis
127,10,Western Grebe,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis
128,11,Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus,clarkii
129,12,unid. Western Grebe / Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis / clarkii
130,3131,Rock Pigeon,Columbiformes,Columbidae,Columba,livia
134,3140,White-crowned Pigeon,Columbiformes,Columbidae,Patagioenas,leucocephala
135,3130,Red-billed Pigeon,Columbiformes,Columbidae,Patagioenas,flavirostris
136,3120,Band-tailed Pigeon,Columbiformes,Columbidae,Patagioenas,fasciata
139,3152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Columbiformes,Columbidae,Streptopelia,roseogrisea
141,22860,Eurasian Collared-Dove,Columbiformes,Columbidae,Streptopelia,decaocto
142,3151,Spotted Dove,Columbiformes,Columbidae,Streptopelia,chinensis
143,3210,Inca Dove,Columbiformes,Columbidae,Columbina,inca
144,3200,Common Ground-Dove,Columbiformes,Columbidae,Columbina,passerina
146,3201,Ruddy Ground-Dove,Columbiformes,Columbidae,Columbina,talpacoti
151,3180,White-tipped Dove,Columbiformes,Columbidae,Leptotila,verreauxi
157,3190,White-winged Dove,Columbiformes,Columbidae,Zenaida,asiatica
159,3160,Mourning Dove,Columbiformes,Columbidae,Zenaida,macroura
165,3870,Yellow-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus,americanus
166,3860,Mangrove Cuckoo,Cuculiformes,Cuculidae,Coccyzus,minor
167,3880,Black-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus
168,3875,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus,americanus / erythropthalmus
173,3850,Greater Roadrunner,Cuculiformes,Cuculidae,Geococcyx,californianus
174,3830,Smooth-billed Ani,Cuculiformes,Cuculidae,Crotophaga,ani
175,3840,Groove-billed Ani,Cuculiformes,Cuculidae,Crotophaga,sulcirostris
177,4210,Lesser Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis
178,4200,Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles,minor
179,4201,Antillean Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles,gundlachii
180,4205,unid. Lesser Nighthawk / Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis / minor
181,4206,unid. Common Nighthawk / Antillean Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles,minor / gundlachii
182,4190,Common Pauraque,Caprimulgiformes,Caprimulgidae,Nyctidromus,albicollis
183,4180,Common Poorwill,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii
186,4160,Chuck-will's-widow,Caprimulgiformes,Caprimulgidae,Antrostomus,carolinensis
190,4171,Eastern Whip-poor-will,Caprimulgiformes,Caprimulgidae,Antrostomus,vociferus
191,4172,Mexican Whip-poor-will,Caprimulgiformes,Caprimulgidae,Antrostomus,arizonae
196,4220,Black Swift,Apodiformes,Apodidae,Cypseloides,niger
201,4230,Chimney Swift,Apodiformes,Apodidae,Chaetura,pelagica
202,4240,Vaux's Swift,Apodiformes,Apodidae,Chaetura,vauxi
206,4250,White-throated Swift,Apodiformes,Apodidae,Aeronautes,saxatalis
219,4260,Rivoli's Hummingbird,Apodiformes,Trochilidae,Eugenes,fulgens
224,4270,Blue-throated Hummingbird,Apodiformes,Trochilidae,Lampornis,clemenciae
230,4370,Lucifer Hummingbird,Apodiformes,Trochilidae,Calothorax,lucifer
232,4280,Ruby-throated Hummingbird,Apodiformes,Trochilidae,Archilochus,colubris
233,4290,Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus,alexandri
234,4295,unid. Ruby-throated / Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus,colubris / alexandri
235,4310,Anna's Hummingbird,Apodiformes,Trochilidae,Calypte,anna
236,4300,Costa's Hummingbird,Apodiformes,Trochilidae,Calypte,costae
239,4320,Broad-tailed Hummingbird,Apodiformes,Trochilidae,Selasphorus,platycercus
240,4330,Rufous Hummingbird,Apodiformes,Trochilidae,Selasphorus,rufus
241,4340,Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus,sasin
242,4335,unid. Rufous Hummingbird / Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus,rufus / sasin
243,4402,unid. hummingbird,Apodiformes,Trochilidae,Trochilid,sp.
244,4360,Calliope Hummingbird,Apodiformes,Trochilidae,Selasphorus,calliope
249,4410,Broad-billed Hummingbird,Apodiformes,Trochilidae,Cynanthus,latirostris
265,4390,Buff-bellied Hummingbird,Apodiformes,Trochilidae,Amazilia,yucatanensis
267,4391,Violet-crowned Hummingbird,Apodiformes,Trochilidae,Amazilia,violiceps
272,2150,Yellow Rail,Gruiformes,Rallidae,Coturnicops,noveboracensis
275,2160,Black Rail,Gruiformes,Rallidae,Laterallus,jamaicensis
277,2111,Ridgway's Rail,Gruiformes,Rallidae,Rallus,obsoletus
278,2110,Clapper Rail,Gruiformes,Rallidae,Rallus,crepitans
280,2080,King Rail,Gruiformes,Rallidae,Rallus,elegans
281,2090,unid. Clapper / King Rail,Gruiformes,Rallidae,Rallus,crepitans / elegans
282,2120,Virginia Rail,Gruiformes,Rallidae,Rallus,limicola
286,2140,Sora,Gruiformes,Rallidae,Porzana,carolina
290,2180,Purple Gallinule,Gruiformes,Rallidae,Porphyrio,martinicus
291,21930,Purple Swamphen,Gruiformes,Rallidae,Porphyrio,porphyrio
292,2190,Common Gallinule,Gruiformes,Rallidae,Gallinula,galeata
295,2210,American Coot,Gruiformes,Rallidae,Fulica,americana
297,2070,Limpkin,Gruiformes,Aramidae,Aramus,guarauna
298,2060,Sandhill Crane,Gruiformes,Gruidae,Antigone,canadensis
300,2040,Whooping Crane,Gruiformes,Gruidae,Grus,americana
303,2260,Black-necked Stilt,Charadriiformes,Recurvirostridae,Himantopus,mexicanus
304,2250,American Avocet,Charadriiformes,Recurvirostridae,Recurvirostra,americana
306,2860,American Oystercatcher,Charadriiformes,Haematopodidae,Haematopus,palliatus
307,2870,Black Oystercatcher,Charadriiformes,Haematopodidae,Haematopus,bachmani
310,2700,Black-bellied Plover,Charadriiformes,Charadriidae,Pluvialis,squatarola
312,2720,American Golden-Plover,Charadriiformes,Charadriidae,Pluvialis,dominica
313,2721,Pacific Golden-Plover,Charadriiformes,Charadriidae,Pluvialis,fulva
317,2780,Snowy Plover,Charadriiformes,Charadriidae,Charadrius,nivosus
318,2800,Wilson's Plover,Charadriiformes,Charadriidae,Charadrius,wilsonia
319,2750,Common Ringed Plover,Charadriiformes,Charadriidae,Charadrius,hiaticula
320,2740,Semipalmated Plover,Charadriiformes,Charadriidae,Charadrius,semipalmatus
321,2770,Piping Plover,Charadriiformes,Charadriidae,Charadrius,melodus
323,2730,Killdeer,Charadriiformes,Charadriidae,Charadrius,vociferus
324,2810,Mountain Plover,Charadriiformes,Charadriidae,Charadrius,montanus
327,2610,Upland Sandpiper,Charadriiformes,Scolopacidae,Bartramia,longicauda
328,2680,Bristle-thighed Curlew,Charadriiformes,Scolopacidae,Numenius,tahitiensis
329,2650,Whimbrel,Charadriiformes,Scolopacidae,Numenius,phaeopus
331,2640,Long-billed Curlew,Charadriiformes,Scolopacidae,Numenius,americanus
335,2500,Bar-tailed Godwit,Charadriiformes,Scolopacidae,Limosa,lapponica
337,2510,Hudsonian Godwit,Charadriiformes,Scolopacidae,Limosa,haemastica
338,2490,Marbled Godwit,Charadriiformes,Scolopacidae,Limosa,fedoa
339,2830,Ruddy Turnstone,Charadriiformes,Scolopacidae,Arenaria,interpres
340,2840,Black Turnstone,Charadriiformes,Scolopacidae,Arenaria,melanocephala
342,2340,Red Knot,Charadriiformes,Scolopacidae,Calidris,canutus
343,2820,Surfbird,Charadriiformes,Scolopacidae,Calidris,virgata
346,2380,Sharp-tailed Sandpiper,Charadriiformes,Scolopacidae,Calidris,acuminata
347,2330,Stilt Sandpiper,Charadriiformes,Scolopacidae,Calidris,himantopus
352,2422,Red-necked Stint,Charadriiformes,Scolopacidae,Calidris,ruficollis
353,2480,Sanderling,Charadriiformes,Scolopacidae,Calidris,alba
354,2430,Dunlin,Charadriiformes,Scolopacidae,Calidris,alpina
355,2356,Rock Sandpiper,Charadriiformes,Scolopacidae,Calidris,ptilocnemis
356,2350,Purple Sandpiper,Charadriiformes,Scolopacidae,Calidris,maritima
357,2410,Baird's Sandpiper,Charadriiformes,Scolopacidae,Calidris,bairdii
359,2420,Least Sandpiper,Charadriiformes,Scolopacidae,Calidris,minutilla
360,2400,White-rumped Sandpiper,Charadriiformes,Scolopacidae,Calidris,fuscicollis
361,2620,Buff-breasted Sandpiper,Charadriiformes,Scolopacidae,Calidris,subruficollis
362,2390,Pectoral Sandpiper,Charadriiformes,Scolopacidae,Calidris,melanotos
363,2460,Semipalmated Sandpiper,Charadriiformes,Scolopacidae,Calidris,pusilla
364,2470,Western Sandpiper,Charadriiformes,Scolopacidae,Calidris,mauri
365,2429,unid. small ''peep'' sandpiper,Charadriiformes,Scolopacidae,Calidris,sp.
366,2310,Short-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus,griseus
367,2320,Long-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus,scolopaceus
368,2327,unid. Short-billed / Long-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus,griseus / scolopaceus
371,2280,American Woodcock,Charadriiformes,Scolopacidae,Scolopax,minor
375,2300,Wilson's Snipe,Charadriiformes,Scolopacidae,Gallinago,delicata
377,2631,Common Sandpiper,Charadriiformes,Scolopacidae,Actitis,hypoleucos
378,2630,Spotted Sandpiper,Charadriiformes,Scolopacidae,Actitis,macularius
380,2560,Solitary Sandpiper,Charadriiformes,Scolopacidae,Tringa,solitaria
382,2590,Wandering Tattler,Charadriiformes,Scolopacidae,Tringa,incana
383,2550,Lesser Yellowlegs,Charadriiformes,Scolopacidae,Tringa,flavipes
384,2555,unid. Greater Yellowlegs / Lesser Yellowlegs,Charadriiformes,Scolopacidae,Tringa,melanoleuca / flavipes
385,2580,Willet,Charadriiformes,Scolopacidae,Tringa,semipalmata
387,2530,Common Greenshank,Charadriiformes,Scolopacidae,Tringa,nebularia
388,2540,Greater Yellowlegs,Charadriiformes,Scolopacidae,Tringa,melanoleuca
392,2240,Wilson's Phalarope,Charadriiformes,Scolopacidae,Phalaropus,tricolor
393,2230,Red-necked Phalarope,Charadriiformes,Scolopacidae,Phalaropus,lobatus
398,360,Pomarine Jaeger,Charadriiformes,Stercorariidae,Stercorarius,pomarinus
399,370,Parasitic Jaeger,Charadriiformes,Stercorariidae,Stercorarius,parasiticus
400,380,Long-tailed Jaeger,Charadriiformes,Stercorariidae,Stercorarius,longicaudus
402,300,Common Murre,Charadriiformes,Alcidae,Uria,aalge
403,310,Thick-billed Murre,Charadriiformes,Alcidae,Uria,lomvia
404,315,unid. Common Murre / Thick-billed Murre,Charadriiformes,Laridae,Uria,aalge / lomvia
405,320,Razorbill,Charadriiformes,Alcidae,Alca,torda
406,270,Black Guillemot,Charadriiformes,Alcidae,Cepphus,grylle
407,290,Pigeon Guillemot,Charadriiformes,Alcidae,Cepphus,columba
409,230,Marbled Murrelet,Charadriiformes,Alcidae,Brachyramphus,marmoratus
410,240,Kittlitz's Murrelet,Charadriiformes,Alcidae,Brachyramphus,brevirostris
414,210,Ancient Murrelet,Charadriiformes,Alcidae,Synthliboramphus,antiquus
415,160,Cassin's Auklet,Charadriiformes,Alcidae,Ptychoramphus,aleuticus
420,150,Rhinoceros Auklet,Charadriiformes,Alcidae,Cerorhinca,monocerata
422,140,Horned Puffin,Charadriiformes,Alcidae,Fratercula,corniculata
423,120,Tufted Puffin,Charadriiformes,Alcidae,Fratercula,cirrhata
425,400,Black-legged Kittiwake,Charadriiformes,Laridae,Rissa,tridactyla
428,620,Sabine's Gull,Charadriiformes,Laridae,Xema,sabini
429,600,Bonaparte's Gull,Charadriiformes,Laridae,Chroicocephalus,philadelphia
431,551,Black-headed Gull,Charadriiformes,Laridae,Chroicocephalus,ridibundus
432,601,Little Gull,Charadriiformes,Laridae,Hydrocoloeus,minutus
433,610,Ross's Gull,Charadriiformes,Laridae,Rhodostethia,rosea
435,580,Laughing Gull,Charadriiformes,Laridae,Leucophaeus,atricilla
436,590,Franklin's Gull,Charadriiformes,Laridae,Leucophaeus,pipixcan
439,570,Heermann's Gull,Charadriiformes,Laridae,Larus,heermanni
440,550,Mew Gull,Charadriiformes,Laridae,Larus,canus
441,540,Ring-billed Gull,Charadriiformes,Laridae,Larus,delawarensis
442,490,Western Gull,Charadriiformes,Laridae,Larus,occidentalis
444,530,California Gull,Charadriiformes,Laridae,Larus,californicus
445,510,Herring Gull,Charadriiformes,Laridae,Larus,argentatus
447,430,Iceland Gull,Charadriiformes,Laridae,Larus,glaucoides
448,500,Lesser Black-backed Gull,Charadriiformes,Laridae,Larus,fuscus
449,480,Slaty-backed Gull,Charadriiformes,Laridae,Larus,schistisagus
450,440,Glaucous-winged Gull,Charadriiformes,Laridae,Larus,glaucescens
451,495,hybrid Western Gull x Glaucous-winged Gull,Charadriiformes,Laridae,Larus,occidentalis x glaucescens
452,420,Glaucous Gull,Charadriiformes,Laridae,Larus,hyperboreus
453,470,Great Black-backed Gull,Charadriiformes,Laridae,Larus,marinus
455,534,unid. gull,Charadriiformes,Laridae,Gull,sp.
462,730,Aleutian Tern,Charadriiformes,Laridae,Onychoprion,aleuticus
463,740,Least Tern,Charadriiformes,Laridae,Sternula,antillarum
465,630,Gull-billed Tern,Charadriiformes,Laridae,Gelochelidon,nilotica
466,640,Caspian Tern,Charadriiformes,Laridae,Hydroprogne,caspia
467,770,Black Tern,Charadriiformes,Laridae,Chlidonias,niger
470,720,Roseate Tern,Charadriiformes,Laridae,Sterna,dougallii
471,700,Common Tern,Charadriiformes,Laridae,Sterna,hirundo
472,710,Arctic Tern,Charadriiformes,Laridae,Sterna,paradisaea
473,690,Forster's Tern,Charadriiformes,Laridae,Sterna,forsteri
474,650,Royal Tern,Charadriiformes,Laridae,Thalasseus,maximus
475,670,Sandwich Tern,Charadriiformes,Laridae,Thalasseus,sandvicensis
476,660,Elegant Tern,Charadriiformes,Laridae,Thalasseus,elegans
477,634,unid. tern,Charadriiformes,Laridae,Tern,sp.
